Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups
E02005941,E02005954,62,0,0,0,16,0,0,30,2,14,0,0,7357.410271575505,0.008796423530023353,0.22580645161290322,0.1548267030630791,1.4584464252326403,48,5.0956151823282445,5.163992099237739,19,0.3064516129032258,7.357410271575505,"(7,8]"
E02005941,E02005955,31,0,0,0,3,0,0,18,4,1,5,0,8589.867844437742,0.014553780219140628,0.03225806451612903,0.09459458958302316,0.3410138429515251,25,2.3648647395755793,2.3965983289488393,3,0.0967741935483871,8.589867844437743,"(8,9]"
E02005941,E02005956,16,0,0,0,3,0,0,10,0,2,0,1,9405.372661744206,0.00984302691873645,0.125,0.08143576941894641,1.5349520351055732,14,0.7427598685758505,0.7527267966110466,3,0.1875,9.405372661744206,"(9,10]"
E02005941,E02005979,32,0,0,0,7,0,0,20,2,2,0,1,6825.31770830497,0.012944461286352946,0.0625,0.16116824513711703,0.3877935132124005,30,4.835047354113511,4.899927769795654,7,0.21875,6.82531770830497,"(6,7]"
E02005942,E02005940,12,0,0,0,3,0,0,3,0,5,1,0,2015.4511395237107,0.010639035884310432,0.4166666666666667,0.283449695976039,1.4699845248798187,6,1.1569497141442884,1.1724745627919766,6,0.5,2.015451139523711,"(2,3]"
E02005942,E02005941,67,0,0,1,1,0,0,18,0,24,22,1,1588.0744175914374,0.012489638722468766,0.3582089552238806,0.2565537963246862,1.3962333060569598,21,3.8586887302046784,3.9104676085626506,28,0.417910447761194,1.5880744175914374,"(1,2]"
E02005942,E02005942,131,0,0,3,0,0,0,24,2,48,54,0,0,0.010671061954667138,0.366412213740458,0.041203737647454414,8.892693591914838,29,0.1343696799429341,0.13617275653169947,48,0.366412213740458,0,NA
E02005942,E02005945,119,0,0,2,24,0,4,44,4,36,4,1,4340.732811228732,0.014461124833332617,0.3025210084033613,0.2472190316377537,1.2236962761291,79,15.960090653509592,16.174255529277232,52,0.4369747899159664,4.340732811228732,"(4,5]"
E02005942,E02005946,11,0,0,0,3,0,0,7,0,1,0,0,6094.868135876105,0.018953441769378708,0.09090909090909091,0.1665230104209118,0.5459250987554488,10,1.665230104209118,1.6875754533762957,3,0.2727272727272727,6.094868135876105,"(6,7]"
E02005942,E02005947,805,0,0,2,91,0,1,54,5,374,275,3,1969.6373111325752,0.011023308037285537,0.4645962732919255,0.2799464917936411,1.6595895534007854,156,26.314731031125895,26.667842503014725,401,0.49813664596273294,1.9696373111325751,"(1,2]"
E02005942,E02005948,112,0,0,0,2,0,0,12,0,57,41,0,2511.8897128953286,0.00939870469180685,0.5089285714285714,0.2999119624937208,1.6969265487008598,14,2.474336604684865,2.5075391724555645,60,0.5357142857142857,2.5118897128953286,"(2,3]"
E02005942,E02005949,91,0,0,3,15,0,2,29,1,39,2,0,5933.780545132835,0.013127036711943032,0.42857142857142855,0.1960034381581285,2.186550565636877,50,4.48202390647752,4.542167179718093,44,0.4835164835164835,5.933780545132835,"(5,6]"
E02005942,E02005950,38,0,0,0,3,0,0,12,1,17,5,0,3810.4297259699697,0.009944955700572364,0.4473684210526316,0.2853079593970744,1.5680194201312527,16,2.911269651220951,2.950335325515397,20,0.5263157894736842,3.8104297259699695,"(3,4]"
E02005942,E02005952,49,0,0,0,5,0,0,37,1,4,2,0,6209.640737968143,0.011492371366704368,0.08163265306122448,0.19172973943985416,0.42576938402835907,43,8.244378795913729,8.355008265315895,12,0.24489795918367346,6.209640737968143,"(6,7]"
