Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02005950,E02005978,11,0,0,0,4,0,0,6,0,1,0,0,Oxford,Oxford
E02005950,E02005979,47,0,0,0,10,0,1,10,3,19,4,0,Oxford,Oxford
E02005951,E02005941,35,0,0,0,9,0,0,7,2,16,1,0,Oxford,Oxford
E02005951,E02005942,36,0,0,0,8,0,0,11,1,12,4,0,Oxford,Oxford
E02005951,E02005945,112,0,0,0,37,0,0,21,7,37,9,1,Oxford,Oxford
E02005951,E02005946,14,0,0,0,6,0,0,6,0,1,1,0,Oxford,Oxford
E02005951,E02005947,902,0,0,5,134,0,6,64,10,316,364,3,Oxford,Oxford
E02005951,E02005948,179,0,0,0,13,1,0,27,3,74,61,0,Oxford,Oxford
E02005951,E02005949,112,0,1,1,21,0,2,32,0,49,6,0,Oxford,Oxford
E02005951,E02005950,88,0,0,0,10,1,0,20,2,35,20,0,Oxford,Oxford
E02005951,E02005951,81,0,0,0,1,0,0,19,0,11,50,0,Oxford,Oxford
E02005951,E02005952,87,0,0,0,14,0,1,44,4,20,4,0,Oxford,Oxford
E02005951,E02005953,13,0,0,0,0,0,0,5,1,6,1,0,Oxford,Oxford
E02005951,E02005954,99,0,0,1,18,0,0,35,5,29,11,0,Oxford,Oxford
E02005951,E02005955,47,0,0,0,7,0,0,26,0,12,2,0,Oxford,Oxford
E02005951,E02005956,18,0,0,0,6,0,1,6,0,2,2,1,Oxford,Oxford
E02005951,E02005978,15,0,0,0,1,0,0,10,1,3,0,0,Oxford,Oxford
E02005951,E02005979,38,0,0,0,7,0,0,14,0,13,4,0,Oxford,Oxford
E02005952,E02005940,35,0,0,0,8,0,0,17,1,8,1,0,Oxford,Oxford
E02005952,E02005941,78,0,0,0,27,0,0,30,3,12,6,0,Oxford,Oxford
E02005952,E02005942,79,0,0,0,22,0,0,28,2,17,10,0,Oxford,Oxford
E02005952,E02005943,26,0,0,0,9,1,0,7,1,4,4,0,Oxford,Oxford
E02005952,E02005944,25,0,0,0,7,0,0,12,3,3,0,0,Oxford,Oxford
E02005952,E02005945,641,0,0,0,192,0,6,164,30,138,109,2,Oxford,Oxford
E02005952,E02005946,91,0,0,0,15,0,0,54,8,7,7,0,Oxford,Oxford
E02005952,E02005947,1306,0,1,3,607,5,18,158,30,336,144,4,Oxford,Oxford
E02005952,E02005948,278,0,0,0,77,6,0,74,1,95,23,2,Oxford,Oxford
E02005952,E02005949,449,0,0,0,57,1,1,100,15,110,164,1,Oxford,Oxford
E02005952,E02005950,291,0,0,0,60,1,0,81,11,66,72,0,Oxford,Oxford
E02005952,E02005951,16,0,0,0,4,0,0,9,0,3,0,0,Oxford,Oxford
E02005952,E02005952,865,0,0,0,44,4,5,308,42,177,284,1,Oxford,Oxford
E02005952,E02005953,53,0,0,0,7,0,0,20,2,12,12,0,Oxford,Oxford
E02005952,E02005954,401,0,0,6,35,1,0,133,5,54,166,1,Oxford,Oxford
E02005952,E02005955,209,0,0,0,29,1,2,102,10,42,23,0,Oxford,Oxford
E02005952,E02005956,109,0,0,0,7,1,1,50,3,18,29,0,Oxford,Oxford
E02005952,E02005957,23,0,0,0,7,0,0,12,0,2,2,0,Oxford,Oxford
E02005952,E02005978,30,0,0,0,3,0,0,23,2,2,0,0,Oxford,Oxford
E02005952,E02005979,64,0,0,1,13,0,0,33,4,11,0,2,Oxford,Oxford
E02005953,E02005940,16,0,0,0,5,0,0,3,0,7,1,0,Oxford,Oxford
E02005953,E02005941,35,0,0,0,7,0,0,8,0,19,1,0,Oxford,Oxford
E02005953,E02005942,47,0,0,0,8,0,0,15,0,19,5,0,Oxford,Oxford
E02005953,E02005945,145,0,0,1,22,0,1,37,5,54,24,1,Oxford,Oxford
E02005953,E02005946,11,0,0,0,2,0,0,6,0,2,1,0,Oxford,Oxford
E02005953,E02005947,632,0,0,2,144,1,3,52,8,260,160,2,Oxford,Oxford
E02005953,E02005948,108,0,0,0,23,0,1,14,3,51,16,0,Oxford,Oxford
E02005953,E02005949,127,0,0,0,7,0,0,20,1,62,37,0,Oxford,Oxford
E02005953,E02005950,174,0,0,1,12,0,0,32,4,42,82,1,Oxford,Oxford
E02005953,E02005951,17,0,0,0,0,0,0,9,1,4,3,0,Oxford,Oxford
E02005953,E02005952,154,0,0,0,16,0,0,73,8,34,22,1,Oxford,Oxford
E02005953,E02005953,54,0,0,1,3,0,0,13,1,12,24,0,Oxford,Oxford
E02005953,E02005954,137,0,0,1,24,0,0,36,2,42,32,0,Oxford,Oxford
E02005953,E02005955,61,0,0,0,11,1,0,27,1,17,4,0,Oxford,Oxford
E02005953,E02005956,17,0,0,0,6,1,0,7,0,1,2,0,Oxford,Oxford
E02005953,E02005957,11,0,0,0,2,0,0,6,0,2,0,1,Oxford,Oxford
E02005953,E02005979,33,0,0,0,7,1,1,11,1,11,1,0,Oxford,Oxford
E02005954,E02005940,37,0,0,0,13,0,0,16,2,5,1,0,Oxford,Oxford
E02005954,E02005941,37,0,0,0,14,0,0,10,1,8,4,0,Oxford,Oxford
E02005954,E02005942,65,0,0,0,14,0,0,27,2,20,2,0,Oxford,Oxford
E02005954,E02005945,282,0,0,0,90,0,6,93,20,54,16,3,Oxford,Oxford
E02005954,E02005946,28,0,0,0,3,0,0,18,1,5,1,0,Oxford,Oxford
E02005954,E02005947,967,0,0,2,464,1,10,119,21,284,63,3,Oxford,Oxford
E02005954,E02005948,198,0,0,0,48,4,2,65,2,65,9,3,Oxford,Oxford
E02005954,E02005949,172,0,0,0,31,1,3,55,9,53,20,0,Oxford,Oxford
E02005954,E02005950,196,0,0,0,52,1,1,53,3,55,30,1,Oxford,Oxford
E02005954,E02005951,16,0,0,0,4,0,0,6,1,2,3,0,Oxford,Oxford
E02005954,E02005952,433,0,0,1,23,2,12,163,15,97,120,0,Oxford,Oxford
E02005954,E02005953,45,0,0,0,0,0,0,13,0,14,18,0,Oxford,Oxford
E02005954,E02005954,341,0,0,1,21,2,0,68,10,57,180,2,Oxford,Oxford
E02005954,E02005955,169,0,0,0,16,0,0,85,4,32,31,1,Oxford,Oxford
E02005954,E02005956,84,0,0,0,7,0,1,30,2,12,32,0,Oxford,Oxford
E02005954,E02005957,33,0,0,0,10,0,0,11,1,11,0,0,Oxford,Oxford
E02005954,E02005978,25,0,0,0,3,0,0,22,0,0,0,0,Oxford,Oxford
E02005954,E02005979,48,0,0,0,8,0,0,21,1,16,2,0,Oxford,Oxford
E02005955,E02005940,27,0,0,0,13,0,0,10,3,1,0,0,Oxford,Oxford
E02005955,E02005941,34,0,0,0,13,0,0,11,0,8,2,0,Oxford,Oxford
E02005955,E02005942,54,0,0,0,22,0,0,23,0,6,2,1,Oxford,Oxford
E02005955,E02005943,22,0,0,0,5,0,1,10,0,2,4,0,Oxford,Oxford
E02005955,E02005945,283,0,0,0,81,0,5,122,20,41,14,0,Oxford,Oxford
E02005955,E02005946,37,0,0,0,4,0,0,24,1,3,4,1,Oxford,Oxford
E02005955,E02005947,688,0,0,1,358,5,12,104,21,146,38,3,Oxford,Oxford
E02005955,E02005948,141,0,0,0,39,3,0,48,4,35,12,0,Oxford,Oxford
E02005955,E02005949,154,0,0,0,23,1,3,71,10,39,7,0,Oxford,Oxford
E02005955,E02005950,167,0,0,0,52,1,2,65,5,31,10,1,Oxford,Oxford
E02005955,E02005951,20,0,0,0,2,0,0,7,1,9,1,0,Oxford,Oxford
E02005955,E02005952,493,0,0,0,22,1,14,241,25,117,71,2,Oxford,Oxford
E02005955,E02005953,45,0,0,0,7,1,0,18,1,9,9,0,Oxford,Oxford
E02005955,E02005954,273,0,0,0,21,4,2,106,6,44,89,1,Oxford,Oxford
E02005955,E02005955,381,0,0,0,12,4,2,124,17,54,165,3,Oxford,Oxford
E02005955,E02005956,88,0,0,0,8,0,0,42,2,15,21,0,Oxford,Oxford
E02005955,E02005957,28,0,0,0,1,0,0,20,0,4,3,0,Oxford,Oxford
E02005955,E02005978,16,0,0,0,3,0,1,12,0,0,0,0,Oxford,Oxford
E02005955,E02005979,57,0,0,0,7,0,1,41,1,5,2,0,Oxford,Oxford
E02005956,E02005940,13,0,0,0,3,0,0,8,1,1,0,0,Oxford,Oxford
E02005956,E02005941,15,0,0,0,8,0,0,4,0,2,1,0,Oxford,Oxford
E02005956,E02005942,21,0,0,0,7,0,0,11,0,1,2,0,Oxford,Oxford
E02005956,E02005945,169,0,0,0,42,0,6,78,8,24,10,1,Oxford,Oxford
E02005956,E02005946,27,0,0,0,4,0,0,17,0,2,4,0,Oxford,Oxford
E02005956,E02005947,433,0,0,1,258,4,4,79,10,42,34,1,Oxford,Oxford
E02005956,E02005948,67,0,0,1,18,1,1,31,5,8,2,0,Oxford,Oxford
E02005956,E02005949,102,0,0,0,22,1,2,52,4,15,6,0,Oxford,Oxford
E02005956,E02005950,71,0,0,0,33,0,0,18,5,7,8,0,Oxford,Oxford
E02005956,E02005952,414,0,0,1,26,1,3,152,11,91,128,1,Oxford,Oxford
E02005956,E02005953,13,0,0,0,5,0,0,8,0,0,0,0,Oxford,Oxford
E02005956,E02005954,160,0,0,0,62,0,1,53,8,12,24,0,Oxford,Oxford
E02005956,E02005955,143,0,0,0,8,3,0,63,8,17,44,0,Oxford,Oxford
E02005956,E02005956,170,0,0,1,9,0,2,59,6,16,76,1,Oxford,Oxford
E02005956,E02005957,80,0,0,0,8,0,0,21,5,5,39,2,Oxford,Oxford
E02005956,E02005978,14,0,0,0,1,0,0,10,3,0,0,0,Oxford,Oxford
E02005956,E02005979,18,0,0,0,6,0,0,10,1,1,0,0,Oxford,Oxford
E02005957,E02005940,11,0,0,0,1,0,0,8,1,1,0,0,Oxford,Oxford
E02005957,E02005941,20,0,0,0,8,0,0,11,0,1,0,0,Oxford,Oxford
E02005957,E02005942,30,0,0,0,13,0,0,14,0,2,1,0,Oxford,Oxford
E02005957,E02005945,214,0,0,0,65,0,2,111,14,12,10,0,Oxford,Oxford
E02005957,E02005946,24,0,0,0,2,0,0,18,0,4,0,0,Oxford,Oxford
E02005957,E02005947,421,0,0,0,245,1,4,80,10,43,38,0,Oxford,Oxford
E02005957,E02005948,74,0,0,0,18,3,0,35,5,7,6,0,Oxford,Oxford
E02005957,E02005949,90,0,0,0,13,0,0,58,3,11,4,1,Oxford,Oxford
E02005957,E02005950,85,0,0,0,35,0,0,31,8,7,4,0,Oxford,Oxford
E02005957,E02005951,12,0,0,0,3,0,0,6,1,2,0,0,Oxford,Oxford
E02005957,E02005952,416,0,0,1,32,2,7,194,18,90,71,1,Oxford,Oxford
E02005957,E02005953,23,0,0,0,6,0,1,12,1,1,2,0,Oxford,Oxford
E02005957,E02005954,190,0,0,0,69,1,0,80,10,11,18,1,Oxford,Oxford
E02005957,E02005955,163,0,0,0,7,2,1,95,7,19,32,0,Oxford,Oxford
E02005957,E02005956,138,0,0,0,9,0,1,62,8,14,43,1,Oxford,Oxford
E02005957,E02005957,117,0,0,0,7,0,1,29,4,7,69,0,Oxford,Oxford
E02005957,E02005978,16,0,0,0,1,0,0,15,0,0,0,0,Oxford,Oxford
E02005957,E02005979,40,0,0,0,6,0,0,27,3,2,2,0,Oxford,Oxford
E02005978,E02005940,15,0,0,0,2,0,0,11,0,2,0,0,Oxford,Oxford
E02005978,E02005941,43,0,0,0,3,0,1,34,1,4,0,0,Oxford,Oxford
E02005978,E02005942,32,0,0,0,10,0,0,19,0,3,0,0,Oxford,Oxford
E02005978,E02005945,104,0,0,0,25,0,1,64,6,8,0,0,Oxford,Oxford
E02005978,E02005946,14,0,0,0,2,0,0,11,0,1,0,0,Oxford,Oxford
E02005978,E02005947,468,0,0,1,177,0,17,120,11,121,21,0,Oxford,Oxford
E02005978,E02005948,138,0,0,0,26,0,6,52,12,35,7,0,Oxford,Oxford
E02005978,E02005949,52,0,0,1,9,0,1,33,1,7,0,0,Oxford,Oxford
E02005978,E02005950,38,0,0,0,11,0,0,18,1,8,0,0,Oxford,Oxford
E02005978,E02005952,131,0,0,0,8,1,0,106,6,9,1,0,Oxford,Oxford
E02005978,E02005953,11,0,0,0,2,0,0,9,0,0,0,0,Oxford,Oxford
