Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups
E02005181,E02005179,101,0,0,0,21,0,0,61,8,3,8,0,2933.3024320515406,0.03388003023237553,0.0297029702970297,0.013198429374351185,2.250492801420158,90,0.5278215699877007,4.828239441066832,8,0.07920792079207921,2.9333024320515406,"(2,3]"
E02005181,E02005180,52,0,0,0,4,0,0,18,6,1,22,1,526.8404252987037,0.02947175080982469,0.019230769230769232,0.01918410274220014,1.002432560396293,29,0.5549889354191228,5.076752485520328,6,0.11538461538461539,0.5268404252987038,"(0,1]"
E02005181,E02005181,174,0,0,0,5,0,1,64,8,2,93,1,0,0.024045059326936086,0.011494252873563218,0.03246982609173304,0.3539979808050067,79,2.56511626124691,23.464360321164627,25,0.14367816091954022,0,NA
E02005181,E02005182,73,0,0,0,23,0,3,33,6,2,6,0,3267.4312234900704,0.028033519277562584,0.0273972602739726,0.015023076496825516,1.8236784109940356,65,0.5354562330764205,4.898077400597499,7,0.0958904109589041,3.26743122349007,"(3,4]"
E02005181,E02005185,149,0,0,0,8,0,0,88,13,7,32,1,1437.7188970197037,0.025585361684886898,0.04697986577181208,0.01775889446092928,2.645427387114149,110,0.7384358384651173,6.754830121962645,14,0.09395973154362416,1.4377188970197037,"(1,2]"
E02005181,E02005186,233,0,0,0,9,7,2,128,26,13,47,1,2946.442146422387,0.02648179714222184,0.055793991416309016,0.015720235547789382,3.549182914384187,173,0.7662610846979795,7.009361120614391,20,0.08583690987124463,2.946442146422387,"(2,3]"
E02005181,E02006881,76,0,0,0,14,4,0,40,10,0,8,0,2519.985576186293,0.029881950840644385,0,0.014751955782321347,0,68,1.0031329931978517,9.176143147211953,9,0.11842105263157894,2.519985576186293,"(2,3]"
E02005182,E02005176,79,0,0,0,5,1,0,45,12,1,15,0,4189.4880560476,0.02127187205570946,0.012658227848101266,0.017458513505689534,0.7250461411835601,63,1.0998863508584407,10.061192952060562,11,0.13924050632911392,4.1894880560476,"(4,5]"
E02005182,E02005177,129,0,0,1,11,3,0,66,13,5,30,0,3152.9812021724247,0.029063354045606837,0.03875968992248062,0.01470104054075894,2.636526973381141,94,0.5241356620976132,4.794522657094789,10,0.07751937984496124,3.1529812021724246,"(3,4]"
E02005182,E02005178,429,0,0,1,45,8,1,135,40,7,189,3,1929.5165040611466,0.038673305501133175,0.016317016317016316,0.01242444985384864,1.3132988992636887,233,2.2042939482929436,20.163743935476003,27,0.06293706293706294,1.9295165040611466,"(1,2]"
E02005182,E02005179,42,0,0,0,11,0,0,23,4,1,3,0,6412.960183607827,0.02793247311170173,0.023809523809523808,0.015496436598114015,1.5364515357305777,38,0.3832627173940305,3.5058896294356234,5,0.11904761904761904,6.412960183607828,"(6,7]"
E02005182,E02005180,14,0,0,0,3,0,0,9,2,0,0,0,3926.921815556755,0.033494386096396274,0,0.01308210623122913,0,14,0.1831494872372078,1.675357030047974,2,0.14285714285714285,3.926921815556755,"(3,4]"
E02005182,E02005181,23,0,0,0,1,4,0,13,4,0,1,0,3448.0331786332968,0.026428512775338295,0,0.01554976593693446,0,22,0.3420948506125581,3.129307220907829,3,0.13043478260869565,3.4480331786332967,"(3,4]"
E02005182,E02005182,139,0,0,0,3,0,0,39,7,1,88,1,0,0.014329916361192104,0.007194244604316547,0.04066385750847297,0.17691987541559506,50,2.0331928754236483,18.59859958479016,20,0.14388489208633093,0,NA
E02005182,E02005183,25,0,0,0,2,0,0,7,1,1,14,0,1099.6859436156178,0.014303446538542397,0.04,0.024240630934938143,1.6501220660204763,10,0.14690204703097004,1.3437841455871382,2,0.08,1.0996859436156179,"(1,2]"
E02005182,E02005185,83,0,0,0,8,0,1,48,6,0,20,0,3509.5192623202415,0.021536351246152406,0,0.017438913542886934,0,63,1.0986515532018768,10.049897660079036,10,0.12048192771084337,3.5095192623202416,"(3,4]"
E02005182,E02005186,94,0,0,1,8,4,0,60,15,2,3,1,5920.490852568694,0.02323453074734847,0.02127659574468085,0.01707448001240795,1.2461050485414047,89,1.219502900564498,11.155383443571878,13,0.13829787234042554,5.920490852568694,"(5,6]"
E02005182,E02006881,110,0,0,0,7,3,0,37,17,0,46,0,2663.346314419639,0.02127216055167777,0,0.017966613197315545,0,64,1.149863244628195,10.518355795266757,11,0.1,2.663346314419639,"(2,3]"
E02005183,E02005176,102,0,0,0,3,0,1,79,10,2,7,0,3818.0342622131134,0.029881950840644385,0.0196078431372549,0.01426265905409669,1.3747677107672924,93,0.964837391540626,8.82583473835873,11,0.10784313725490197,3.8180342622131134,"(3,4]"
E02005183,E02005177,150,0,0,0,9,6,0,86,22,6,21,0,2769.3483779821777,0.04814221486169976,0.04,0.009458509167528667,4.228996271137649,123,0.2750999416920883,2.516472353988635,9,0.06,2.7693483779821775,"(2,3]"
E02005183,E02005178,473,0,0,0,64,9,3,242,53,6,94,2,2564.4102337909,0.030560716636605305,0.012684989429175475,0.014486350627106705,0.8756511391792118,373,5.403408783910801,49.4275961615078,55,0.11627906976744186,2.5644102337909,"(2,3]"
E02005183,E02005179,48,0,0,0,5,0,0,39,4,0,0,0,7241.426839792933,0.024080391809922795,0,0.01747858739129464,0,48,0.8389721947821427,7.674484847028773,8,0.16666666666666666,7.241426839792933,"(7,8]"
E02005183,E02005180,18,0,0,0,3,0,0,15,0,0,0,0,4755.388471741861,0.05298509102873852,0,0.00824566618063227,0,18,0.14842199125138086,1.3576878112394914,1,0.05555555555555555,4.7553884717418615,"(4,5]"
E02005183,E02005181,33,0,0,0,1,1,0,25,5,0,1,0,4276.4998348184,0.03548368372311199,0,0.012469917399532762,0,32,0.39903735678504837,3.6501878931047145,4,0.12121212121212122,4.2764998348184,"(4,5]"
E02005183,E02005182,133,0,0,0,9,3,0,59,17,2,43,0,1099.6859436156176,0.026705199854704827,0.015037593984962405,0.01810492694321983,0.830580207924776,88,1.593233571003345,14.574078824647795,17,0.12781954887218044,1.0996859436156177,"(1,2]"
E02005183,E02005183,62,0,0,0,4,1,0,27,6,0,24,0,0,0.024426462259960903,0,0.03218303349016095,0,38,1.2229552726261161,11.186963962256499,11,0.1774193548387097,0,NA
E02005183,E02005185,78,0,0,0,6,1,0,58,5,1,7,0,4136.6593288446575,0.02586109125007622,0.01282051282051282,0.01566419712608894,0.8184596195588012,70,1.0964937988262258,10.03015963614626,11,0.14102564102564102,4.136659328844657,"(4,5]"
E02005183,E02005186,118,0,0,0,3,2,1,85,18,1,6,2,6748.957508753799,0.029617900108042744,0.00847457627118644,0.015056681132913334,0.5628449056187647,111,1.67129160575338,15.28811345964967,16,0.13559322033898305,6.748957508753799,"(6,7]"
E02005183,E02006881,91,0,0,0,6,3,1,53,13,0,15,0,3571.9442951921437,0.029063787925724078,0,0.014581148576982495,0,76,1.1081672918506695,10.136942728464657,10,0.10989010989010989,3.571944295192144,"(3,4]"
E02005185,E02005176,80,0,0,0,19,2,1,41,11,1,5,0,5948.788523921017,0.04814221486169976,0.0125,0.00946230478212873,1.3210312167928164,74,0.5300484537961856,4.8486098253901755,6,0.075,5.948788523921017,"(5,6]"
E02005185,E02005177,115,0,0,0,21,3,0,66,10,4,10,1,4651.742438739229,0.029881950840644385,0.034782608695652174,0.014267782208421058,2.437842699555854,101,0.5911152525604167,5.407217398665407,9,0.0782608695652174,4.651742438739229,"(4,5]"
E02005185,E02005178,453,0,0,1,81,8,1,174,39,1,143,5,3599.4630913223114,0.036239368459485714,0.002207505518763797,0.012294839917952693,0.1795473168821368,309,3.7991055346473823,34.75225763052316,36,0.07947019867549669,3.5994630913223116,"(3,4]"
E02005185,E02005179,70,0,0,0,7,0,0,44,8,2,9,0,4178.498413857474,0.028409904890645165,0.02857142857142857,0.014746462228895394,1.9375107146338757,59,0.44905107617391254,4.107687598077723,6,0.08571428571428572,4.178498413857474,"(4,5]"
E02005185,E02005180,29,0,0,1,8,2,0,8,1,0,9,0,1990.840750631747,0.05346193820751009,0,0.0086987700553753,0,20,0.17397540110750598,1.5914372226626814,2,0.06896551724137931,1.990840750631747,"(1,2]"
E02005185,E02005181,57,0,0,0,1,0,1,33,7,0,15,0,1437.718897019704,0.032303292632650665,0,0.015150779372527297,0,42,0.6363327336461465,5.8208435898210675,6,0.10526315789473684,1.437718897019704,"(1,2]"
E02005185,E02005182,97,0,0,0,22,1,0,40,14,1,19,0,3518.5002037830136,0.028559537790487675,0.010309278350515464,0.014767876804216205,0.6980880520057008,77,1.1371265139246478,10.40184675313999,11,0.1134020618556701,3.5185002037830135,"(3,4]"
E02005185,E02005183,13,0,0,0,0,3,0,8,0,0,2,0,4061.400282590659,0.032975979104840895,0,0.01323640143935717,0,11,0.14560041583292888,1.3318774948448204,1,0.07692307692307693,4.061400282590659,"(4,5]"
E02005185,E02005185,259,0,0,2,14,4,1,92,23,0,121,2,0,0.025179266379484835,0,0.031624139547520504,0,138,4.36413125755783,39.92082147045318,40,0.15444015444015444,0,NA
E02005185,E02005186,236,0,0,2,10,2,3,111,27,2,79,0,3186.6855971360287,0.03599925410332356,0.00847457627118644,0.012461077762980681,0.6800837321120551,155,1.9314670532620055,17.668064239773397,20,0.0847457627118644,3.186685597136029,"(3,4]"
E02005185,E02006881,115,0,0,1,8,6,2,44,10,0,44,0,1297.7106915367435,0.03867345824216242,0,0.013256425870812934,0,71,0.9412062368277183,8.609669125374266,9,0.0782608695652174,1.2977106915367436,"(1,2]"
E02005186,E02005176,61,0,0,0,0,0,1,50,6,2,1,1,7797.566825581877,0.030560716636605305,0.03278688524590164,0.015345550321545989,2.136572788782105,58,0.4165745830531762,3.8106093922803947,6,0.09836065573770492,7.797566825581877,"(7,8]"
E02005186,E02005177,105,0,0,1,8,0,0,88,5,0,3,0,6500.520740400091,0.036239368459485714,0,0.012762732491756953,0,102,1.3017987141592093,11.908183093351118,12,0.11428571428571428,6.500520740400091,"(6,7]"
