Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02005186,E02005181,54,0,0,0,1,0,0,37,6,1,9,0,2935.8270877367936,0.029411257520927884
E02005186,E02005182,57,0,0,1,2,0,2,44,7,0,1,0,5911.8880297855885,0.02617174061772407
E02005186,E02005183,12,0,0,0,0,0,0,12,0,0,0,0,6638.473296849606,0.028639559822539438
E02005186,E02005185,131,0,0,1,1,0,1,104,13,1,10,0,3176.070538450435,0.029825779573982514
E02005186,E02005186,228,0,0,0,3,1,0,168,15,7,34,0,0,0.025826613322167978
E02005186,E02006881,68,0,0,0,5,1,0,48,7,2,5,0,4516.906857523442,0.02793247311170173
E02006881,E02005176,84,0,0,0,8,4,1,48,10,5,7,1,5732.718940823656,0.024080391809922795
E02006881,E02005177,178,0,0,0,21,1,2,117,21,3,13,0,4696.212086948478,0.028409904890645165
E02006881,E02005178,703,0,0,2,67,15,7,332,78,4,198,0,3265.3116637069224,0.030666011237987085
E02006881,E02005179,83,0,0,0,3,3,1,59,12,1,4,0,5427.893700247469,NaN
E02006881,E02005180,19,0,1,0,1,0,0,15,1,0,1,0,3155.8939597404706,0.03536185506294961
E02006881,E02005181,51,0,0,0,6,0,1,29,2,0,12,1,2602.772106128428,0.040641140610915935
E02006881,E02005182,161,0,0,0,13,1,0,81,15,6,44,1,2686.7349510278764,0.03745213272560323
E02006881,E02005183,26,0,0,0,1,0,0,16,3,0,6,0,3582.8526764089693,0.047147697631400545
E02006881,E02005185,215,0,0,0,11,6,1,129,13,2,52,1,1297.7106915367435,0.027313108124685095
E02006881,E02005186,275,0,0,1,18,2,4,178,41,9,20,2,4527.521916209034,0.03388058749412135
E02006881,E02006881,271,0,0,0,9,4,0,119,19,0,120,0,0,0.03349536016709861
