Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002886,E02002884,38,0,1,0,1,0,0,26,2,3,5,0,2558.2182754269325,0.029897582081063807,0.07894736842105263,0.10822491966987957,0.729474955138495,4,7,0.18421052631578946,2.5582182754269325,2-3 km,2-4 km
E02002886,E02002885,101,0,0,0,5,1,0,59,6,1,28,1,1579.6064316013303,0.03188014773160477,0.009900990099009901,0.09795785979553359,0.10107397323375718,10,11,0.10891089108910891,1.5796064316013303,1-2 km,0-2 km
E02002886,E02002886,154,0,1,0,12,1,0,55,4,6,74,1,0,0.044485107698835805,0.03896103896103896,0.021246743352715453,1.8337416852197033,3,9,0.05844155844155844,0,NA,NA
E02002886,E02002887,69,0,2,0,6,0,0,43,5,3,10,0,2578.59892246354,0.034860909303248436,0.043478260869565216,0.10811552156840183,0.402146336056453,7,10,0.14492753623188406,2.57859892246354,2-3 km,2-4 km
E02002886,E02002889,117,0,5,0,41,3,1,52,3,3,9,0,2448.8400272996855,0.03517956629976267,0.02564102564102564,0.10750090453094366,0.23851916179593619,12,15,0.1282051282051282,2.4488400272996853,2-3 km,2-4 km
E02002886,E02002890,113,0,9,0,44,1,0,41,6,1,11,0,3881.0390940656143,0.03298112897205553,0.008849557522123894,0.10650743069428426,0.08308863958539568,12,13,0.11504424778761062,3.8810390940656143,3-4 km,2-4 km
E02002886,E02002892,34,0,0,0,6,0,0,24,2,1,1,0,4027.041473766778,0.031472278167003924,0.029411764705882353,0.10574503632352832,0.27813848979063827,3,4,0.11764705882352941,4.027041473766778,4-5 km,4-6 km
E02002886,E02002893,96,0,0,0,13,0,1,44,9,0,29,0,1785.1359204656464,0.03733952751799897,0,0.10108352526627336,0,10,10,0.10416666666666667,1.7851359204656465,1-2 km,0-2 km
E02002886,E02002894,24,0,0,0,2,0,0,5,2,0,15,0,2535.2086075210455,0.03338331879059587,0,0.10799111046274461,0,3,3,0.125,2.5352086075210454,2-3 km,2-4 km
E02002886,E02002895,83,0,4,0,25,2,0,32,7,4,8,1,2812.348149666438,0.023407916892772752,0.04819277108433735,0.10922358907735938,0.44123042917225547,9,13,0.1566265060240964,2.812348149666438,2-3 km,2-4 km
E02002886,E02002896,59,0,1,0,15,3,1,36,1,0,2,0,5264.669298243427,0.050603863497646395,0,0.09530089844467188,0,6,6,0.1016949152542373,5.264669298243427,5-6 km,4-6 km
E02002886,E02002898,187,0,1,1,34,0,1,91,15,18,24,2,3171.3812173155134,0.043807319757425495,0.0962566844919786,0.10849104036300335,0.8872316476080472,18,36,0.1925133689839572,3.1713812173155134,3-4 km,2-4 km
E02002886,E02002899,79,0,0,0,10,0,0,33,2,8,25,1,4295.444091193867,0.02545478903617144,0.10126582278481013,0.10424753292398126,0.9713977870215362,7,15,0.189873417721519,4.295444091193867,4-5 km,4-6 km
E02002886,E02006904,273,0,31,0,112,3,1,82,15,9,19,1,4701.754725267043,0.02312564070442241,0.03296703296703297,0.1012545953647518,0.32558554847091187,27,36,0.13186813186813187,4.701754725267043,4-5 km,4-6 km
E02002886,E02006905,107,0,3,0,22,1,1,55,9,7,8,1,5068.185196029035,0.02594673463483901,0.06542056074766354,0.0980095398003409,0.6674917654029837,10,17,0.1588785046728972,5.068185196029035,5-6 km,4-6 km
E02002887,E02002869,24,0,2,0,5,0,0,14,1,1,1,0,6006.908875839583,0.02144512783686611,0.041666666666666664,0.0892392035510151,0.46690988947304096,2,3,0.125,6.006908875839583,6-7 km,6-8 km
E02002887,E02002871,14,0,0,0,4,0,0,9,1,0,0,0,5973.491760274047,0.03649760064044963,0,0.08903508972457094,0,1,1,0.07142857142857142,5.973491760274047,5-6 km,4-6 km
E02002887,E02002872,35,0,0,0,7,0,0,18,6,0,4,0,5492.636778119475,0.033700830888686036,0,0.09380029831039782,0,3,3,0.08571428571428572,5.492636778119475,5-6 km,4-6 km
E02002887,E02002874,33,0,1,0,8,0,1,20,1,2,0,0,6375.464826923881,0.03570866499650986,0.06060606060606061,0.0850727057686419,0.7124031151763391,3,5,0.15151515151515152,6.375464826923881,6-7 km,6-8 km
E02002887,E02002875,12,0,0,0,1,0,0,10,0,0,1,0,4725.8603725742405,0.029115094601506297,0,0.10082413050023457,0,1,1,0.08333333333333333,4.725860372574241,4-5 km,4-6 km
E02002887,E02002876,16,0,0,0,1,0,0,13,0,1,0,1,3622.444126368356,0.041706200319353,0.0625,0.10736916259393647,0.582103822830128,2,3,0.1875,3.622444126368356,3-4 km,2-4 km
E02002887,E02002877,18,0,0,0,6,0,1,8,2,0,1,0,6091.054771742767,0.04639664065732006,0,0.08752661225131675,0,2,2,0.1111111111111111,6.091054771742767,6-7 km,6-8 km
E02002887,E02002878,19,0,1,0,3,0,0,7,0,0,8,0,2339.279102781784,0.035973219881396234,0,0.10681727471679356,0,2,2,0.10526315789473684,2.339279102781784,2-3 km,2-4 km
E02002887,E02002879,15,0,0,0,2,0,0,10,0,2,0,1,4804.87139043289,0.03455566469280215,0.13333333333333333,0.09995826875243283,1.3338899822641057,1,3,0.2,4.80487139043289,4-5 km,4-6 km
E02002887,E02002880,12,0,0,0,0,2,0,4,2,2,2,0,1912.6216905537294,0.04881458317263434,0.16666666666666666,0.10237174603860129,1.6280533752332573,1,3,0.25,1.9126216905537294,1-2 km,0-2 km
E02002887,E02002881,29,0,0,0,1,0,0,14,2,1,11,0,1727.1852502388094,0.03545840194402706,0.034482758620689655,0.10028977080190914,0.34383126359715677,3,4,0.13793103448275862,1.7271852502388094,1-2 km,0-2 km
E02002887,E02002884,19,0,0,0,5,0,0,14,0,0,0,0,4881.252528188062,0.025204660179185486,0,0.09967270088199406,0,2,2,0.10526315789473684,4.881252528188062,4-5 km,4-6 km
E02002887,E02002885,28,0,1,0,8,0,1,12,5,0,1,0,3902.6406843624604,0.04034223568431296,0,0.10609736031645128,0,3,3,0.10714285714285714,3.9026406843624604,3-4 km,2-4 km
E02002887,E02002886,63,0,0,0,4,0,0,28,6,3,21,1,2556.5861776972315,0.026137908521689422,0.047619047619047616,0.10836384975913828,0.4394366546121339,7,10,0.15873015873015872,2.5565861776972314,2-3 km,2-4 km
E02002887,E02002887,158,0,0,1,15,1,0,61,7,9,63,1,0,0.043688075885633414,0.056962025316455694,0.021250978558280804,2.680442463401737,3,12,0.0759493670886076,0,NA,NA
E02002887,E02002889,47,0,0,1,27,0,0,17,1,0,1,0,4252.258277479596,0.03451856349792495,0,0.10418531574393883,0,5,5,0.10638297872340426,4.252258277479595,4-5 km,4-6 km
E02002887,E02002890,61,0,1,0,28,0,0,22,5,1,4,0,5684.457344245523,0.029329556932579073,0.01639344262295082,0.0921199060852365,0.17795765670649222,6,7,0.11475409836065574,5.684457344245523,5-6 km,4-6 km
E02002887,E02002892,48,0,0,0,5,0,0,20,4,4,15,0,1487.1920329952377,0.02303693315897672,0.08333333333333333,0.0965051155995496,0.8635120823970315,4,8,0.16666666666666666,1.4871920329952377,1-2 km,0-2 km
E02002887,E02002893,37,0,0,0,8,0,0,22,2,1,4,0,3174.225673894747,0.02109213874089937,0.02702702702702703,0.10939537874944846,0.24705821521883337,4,5,0.13513513513513514,3.174225673894747,3-4 km,2-4 km
E02002887,E02002894,16,0,0,0,2,1,0,7,1,2,3,0,1488.3886683468568,0.024661320513940495,0.125,0.09647554777474068,1.2956650973556598,1,3,0.1875,1.4883886683468568,1-2 km,0-2 km
E02002887,E02002895,30,0,1,0,15,1,0,12,1,0,0,0,4236.265756605526,0.03174603392538301,0,0.10440365735028202,0,3,3,0.1,4.236265756605526,4-5 km,4-6 km
E02002887,E02002896,40,0,0,0,12,0,1,23,2,1,1,0,7068.0875484233375,0.034582525510792994,0.025,0.07822590322969895,0.31958723348442714,3,4,0.1,7.068087548423337,7-8 km,6-8 km
E02002887,E02002897,13,0,0,0,6,0,0,5,0,0,2,0,2646.4648166122793,0.045558705665553256,0,0.10794472199181263,0,1,1,0.07692307692307693,2.646464816612279,2-3 km,2-4 km
