Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02002876,E02002876,141,0,8,0,12,0,0,49,7,1,64,0,Nottingham,Nottingham
E02002876,E02002877,20,0,1,0,2,0,0,16,0,1,0,0,Nottingham,Nottingham
E02002876,E02002878,15,0,0,0,2,0,0,8,1,0,4,0,Nottingham,Nottingham
E02002876,E02002879,73,0,4,0,9,0,0,40,4,0,16,0,Nottingham,Nottingham
E02002876,E02002881,30,0,1,0,4,0,0,17,3,1,4,0,Nottingham,Nottingham
E02002876,E02002882,17,0,0,0,5,0,0,10,0,0,2,0,Nottingham,Nottingham
E02002876,E02002884,48,0,3,0,8,0,0,27,2,1,7,0,Nottingham,Nottingham
E02002876,E02002885,67,0,5,2,3,0,0,34,4,4,14,1,Nottingham,Nottingham
E02002876,E02002886,62,0,1,0,5,0,0,42,6,0,8,0,Nottingham,Nottingham
E02002876,E02002887,58,0,0,0,5,2,2,31,5,5,8,0,Nottingham,Nottingham
E02002876,E02002888,25,0,0,0,5,0,0,17,3,0,0,0,Nottingham,Nottingham
E02002876,E02002889,97,0,35,0,31,0,0,21,1,3,5,1,Nottingham,Nottingham
E02002876,E02002890,133,0,29,0,48,0,1,36,3,4,12,0,Nottingham,Nottingham
E02002876,E02002892,33,0,0,0,7,0,0,13,3,9,1,0,Nottingham,Nottingham
E02002876,E02002893,47,0,1,0,4,2,0,36,1,0,3,0,Nottingham,Nottingham
E02002876,E02002894,15,0,0,0,2,0,1,11,1,0,0,0,Nottingham,Nottingham
E02002876,E02002895,79,0,21,0,22,0,0,29,2,2,2,1,Nottingham,Nottingham
E02002876,E02002896,67,0,5,0,22,1,1,32,1,4,1,0,Nottingham,Nottingham
E02002876,E02002898,168,0,7,0,48,1,1,89,7,10,5,0,Nottingham,Nottingham
E02002876,E02002899,43,0,1,0,7,0,0,18,6,7,4,0,Nottingham,Nottingham
E02002876,E02006904,317,0,125,0,69,0,2,90,12,7,7,5,Nottingham,Nottingham
E02002876,E02006905,92,0,18,0,16,0,0,48,4,2,4,0,Nottingham,Nottingham
E02002877,E02002868,12,0,0,0,2,0,0,7,3,0,0,0,Nottingham,Nottingham
E02002877,E02002869,27,0,0,0,10,0,0,12,3,2,0,0,Nottingham,Nottingham
E02002877,E02002871,22,0,0,0,6,1,0,13,0,2,0,0,Nottingham,Nottingham
E02002877,E02002872,25,0,1,0,7,0,0,15,1,1,0,0,Nottingham,Nottingham
E02002877,E02002874,123,0,0,0,19,0,0,38,6,9,51,0,Nottingham,Nottingham
E02002877,E02002875,15,0,0,0,1,0,0,11,3,0,0,0,Nottingham,Nottingham
E02002877,E02002876,18,0,0,0,4,0,0,8,0,1,5,0,Nottingham,Nottingham
E02002877,E02002877,161,0,0,2,25,0,1,46,3,6,78,0,Nottingham,Nottingham
E02002877,E02002879,49,0,0,0,4,0,0,24,2,2,17,0,Nottingham,Nottingham
E02002877,E02002881,24,0,0,0,5,1,0,16,0,2,0,0,Nottingham,Nottingham
E02002877,E02002882,40,0,0,0,11,0,2,8,1,1,17,0,Nottingham,Nottingham
E02002877,E02002883,35,0,0,0,7,0,0,13,2,1,12,0,Nottingham,Nottingham
E02002877,E02002884,94,0,0,0,16,0,0,32,5,7,33,1,Nottingham,Nottingham
E02002877,E02002885,44,0,1,0,8,0,0,24,3,3,5,0,Nottingham,Nottingham
E02002877,E02002886,33,0,0,0,1,0,0,25,4,2,1,0,Nottingham,Nottingham
E02002877,E02002887,25,0,0,0,5,0,0,18,1,1,0,0,Nottingham,Nottingham
E02002877,E02002888,26,0,0,0,6,0,0,16,1,2,1,0,Nottingham,Nottingham
E02002877,E02002889,193,0,3,0,81,0,1,50,7,17,33,1,Nottingham,Nottingham
E02002877,E02002890,161,0,1,0,78,1,0,45,7,8,20,1,Nottingham,Nottingham
E02002877,E02002892,22,0,0,0,3,0,0,16,2,1,0,0,Nottingham,Nottingham
E02002877,E02002893,41,0,0,1,6,1,0,28,3,0,2,0,Nottingham,Nottingham
E02002877,E02002895,127,0,2,1,59,0,0,40,7,9,8,1,Nottingham,Nottingham
E02002877,E02002896,57,0,0,0,14,1,2,31,4,3,2,0,Nottingham,Nottingham
E02002877,E02002898,150,0,0,2,50,1,2,76,5,12,2,0,Nottingham,Nottingham
E02002877,E02002899,70,0,1,0,22,0,0,33,5,7,2,0,Nottingham,Nottingham
E02002877,E02006904,414,0,6,1,212,1,2,101,14,30,47,0,Nottingham,Nottingham
E02002877,E02006905,82,0,1,0,21,1,0,39,3,10,7,0,Nottingham,Nottingham
E02002878,E02002869,74,0,0,1,32,3,1,24,3,1,9,0,Nottingham,Nottingham
