geo_code1,geo_code2,all,bicycle,foot,dist,slope
E02000001,E02000289,152,0,1,17.2,1.72
E02000001,E02000290,54,1,1,16.7,0.75
E02000001,E02000291,193,4,1,16,0.68
E02000001,E02000292,137,1,2,16,0.68
E02000001,E02000293,160,2,1,16.8,1.06
E02000001,E02000294,91,0,2,15.9,0.68
E02000001,E02000295,180,1,0,16,1.66
E02000001,E02000296,194,3,1,16.7,1.72
E02000001,E02000297,233,6,3,15.3,0.66
E02000001,E02000298,317,5,1,14.7,1.51
E02000001,E02000299,106,0,0,15.3,0.73
E02000001,E02000300,100,1,0,13.9,0.66
E02000001,E02000301,91,1,2,14.6,0.73
E02000001,E02000302,125,1,0,14,0.92
E02000001,E02000303,69,1,1,13,0.7
E02000001,E02000304,206,4,0,13.9,1.7
E02000001,E02000305,292,3,2,13.1,1.5
E02000001,E02000306,65,0,1,12.7,0.68
E02000001,E02000307,126,2,3,13.2,0.89
E02000001,E02000308,154,6,2,13.5,1.58
E02000001,E02000309,67,2,0,12.4,0.69
E02000001,E02000311,166,1,1,12.6,1.49
E02000001,E02000312,254,4,2,12.6,1.47
E02000001,E02000313,58,2,0,18.8,1.09
E02000001,E02000314,226,3,1,16.1,1.26
E02000001,E02000315,108,1,0,17.9,1.11
E02000001,E02000316,446,23,2,14,1.22
E02000001,E02000317,90,1,1,15.5,1.24
E02000001,E02000318,129,3,3,16,1.18
E02000001,E02000319,198,2,0,15.7,1.2
E02000001,E02000320,115,1,2,17.7,1.2
E02000001,E02000321,104,0,1,15.2,1.23
E02000001,E02000323,120,5,1,16.4,1.28
E02000001,E02000324,147,7,2,13.9,1.01
E02000001,E02000326,272,15,2,13.4,1.16
E02000001,E02000327,68,3,0,16.2,1.23
E02000001,E02000328,390,28,2,12.1,1.06
E02000001,E02000329,99,3,0,17.7,1.33
E02000001,E02000331,205,14,2,14.2,1.1
E02000001,E02000332,138,2,0,16.8,1.31
E02000001,E02000333,444,39,3,12.8,1.14
E02000001,E02000334,163,10,1,14.8,1.12
E02000001,E02000335,214,7,0,16.2,1.24
E02000001,E02000337,149,4,0,15.1,1.18
E02000001,E02000339,210,4,1,16.3,1.25
E02000001,E02000340,199,4,0,17,1.22
E02000001,E02000341,101,4,1,15.8,1.09
E02000001,E02000342,165,1,1,19.6,1.42
E02000001,E02000343,150,4,1,17.6,1.11
E02000001,E02000344,218,8,0,19,1.22
E02000001,E02000345,93,10,4,7.34,0.63
E02000001,E02000346,121,11,2,7.4,0.88
E02000001,E02000347,92,12,1,7.16,0.64
E02000001,E02000348,94,7,6,6.94,0.59
E02000001,E02000350,271,57,7,6.42,0.56
E02000001,E02000351,367,39,8,6.74,0.77
E02000001,E02000352,164,45,4,6.42,0.83
E02000001,E02000353,263,57,5,5.78,0.57
E02000001,E02000354,204,31,7,6.14,0.72
E02000001,E02000355,212,30,13,6.63,0.68
E02000001,E02000356,317,75,14,5.22,0.67
E02000001,E02000357,86,13,0,7.62,0.72
E02000001,E02000358,329,56,8,5.02,0.6
E02000001,E02000359,137,25,9,7.32,0.66
E02000001,E02000360,253,42,7,5.34,0.58
E02000001,E02000361,232,44,9,5.8,0.59
E02000001,E02000362,150,32,7,6.78,0.78
E02000001,E02000363,169,25,6,6.08,0.59
E02000001,E02000364,302,77,26,4.82,0.48
E02000001,E02000365,661,110,89,3.91,0.54
E02000001,E02000366,242,42,6,5.73,0.52
E02000001,E02000367,379,84,29,4.82,0.6
E02000001,E02000368,298,61,80,3.83,0.47
E02000001,E02000369,693,65,195,2.97,0.57
E02000001,E02000370,534,59,253,2.1,0.67
E02000001,E02000371,1063,99,674,2.12,0.61
