Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02001851,E02001895,17,0,0,0,2,0,0,14,1,0,0,0,8207.296567300858,0.022635493906250716,0,0.06771769465955801,0,1,1,0.058823529411764705,8.207296567300858,8-9 km,8-10 km
E02001851,E02001896,16,0,0,0,5,0,0,9,1,1,0,0,8777.637489582048,0.017854142180348313,0.0625,0.06277548046800611,0.9956116549654046,1,2,0.125,8.777637489582048,8-9 km,8-10 km
E02001851,E02001897,11,0,0,0,2,0,0,8,1,0,0,0,9505.358783283695,0.025464818548300776,0,0.05657257443414936,0,1,1,0.09090909090909091,9.505358783283695,9-10 km,8-10 km
E02001851,E02001900,13,0,0,1,1,0,0,10,1,0,0,0,11258.813215122735,0.018273914200295182,0,0.04445252711694108,0,1,1,0.07692307692307693,11.258813215122734,11-12 km,11-12 km
E02001851,E02001904,19,0,0,0,0,1,0,18,0,0,0,0,8468.941905412514,0.0223875258546021,0,0.06536291312690648,0,1,1,0.05263157894736842,8.468941905412514,8-9 km,8-10 km
E02001851,E02001905,19,0,1,6,4,0,0,7,0,0,0,1,12667.566532696635,0.019778646706007267,0,0.03670900418845187,0,1,1,0.05263157894736842,12.667566532696636,12-13 km,12-13 km
E02001851,E02001907,15,0,0,0,1,0,0,13,0,1,0,0,9253.579201238372,0.018868005503359143,0.06666666666666667,0.058752016864781466,1.1347128187973679,1,2,0.13333333333333333,9.253579201238372,9-10 km,8-10 km
E02001851,E02001913,18,0,0,2,3,0,0,12,1,0,0,0,14907.053370834306,0.022429074035891613,0,0.027685719467893423,0,0,0,0,14.907053370834307,14-15 km,14-15 km
E02001851,E02001949,12,0,0,3,1,0,0,8,0,0,0,0,18212.04573568015,0.016697706885754265,0,0.01974840108291044,0,0,0,0,18.21204573568015,18-19 km,18-19 km
E02001851,E02002089,48,0,0,0,7,0,0,39,1,0,0,1,9418.072057018922,0.019000749253393834,0,0.057420186753701245,0,3,3,0.0625,9.418072057018922,9-10 km,8-10 km
E02001851,E02006895,13,0,0,2,4,0,0,7,0,0,0,0,10047.467351400044,0.019994247730971797,0,0.052570672947470705,0,1,1,0.07692307692307693,10.047467351400044,10-11 km,10-11 km
E02001851,E02006896,68,0,0,11,23,1,2,26,1,1,3,0,9608.782280053267,0.019765058896220673,0.014705882352941176,0.05589646757674121,0.26309144370798065,4,5,0.07352941176470588,9.608782280053267,9-10 km,8-10 km
E02001851,E02006897,21,0,0,1,5,0,0,14,0,0,1,0,10397.73333689136,0.019731945454139057,0,0.05006713813825622,0,1,1,0.047619047619047616,10.39773333689136,10-11 km,10-11 km
E02001851,E02006898,42,0,0,1,7,0,0,28,6,0,0,0,9976.894618055418,0.018386216309495742,0,0.05312745861558455,0,2,2,0.047619047619047616,9.976894618055418,9-10 km,8-10 km
E02001851,E02006900,20,0,0,0,2,0,0,17,1,0,0,0,7949.01493926292,0.02036255917234326,0,0.07017199785674051,0,1,1,0.05,7.94901493926292,7-8 km,6-8 km
E02001851,E02006901,15,0,0,0,1,0,0,12,1,0,0,1,11314.12859146767,0.020897433957526596,0,0.044065801859008914,0,1,1,0.06666666666666667,11.31412859146767,11-12 km,11-12 km
E02001852,E02001834,12,0,0,0,1,0,0,9,0,1,0,1,4646.749784974113,0.022084888791196328,0.08333333333333333,0.10174012554678466,0.8190803076512122,1,2,0.16666666666666666,4.646749784974113,4-5 km,4-6 km
E02001852,E02001840,21,0,0,0,3,1,0,10,2,0,5,0,2623.591655579663,0.023822548948140072,0,0.10871327654535648,0,2,2,0.09523809523809523,2.623591655579663,2-3 km,2-4 km
E02001852,E02001843,11,0,0,0,1,0,0,8,1,0,1,0,3589.5818089196005,0.01821018280923552,0,0.10844263088364167,0,1,1,0.09090909090909091,3.5895818089196005,3-4 km,2-4 km
E02001852,E02001846,28,0,0,2,5,0,0,10,0,1,10,0,1004.8726116722473,0.017867430799393035,0.03571428571428571,0.08450399822460924,0.42263427133185044,2,3,0.10714285714285714,1.0048726116722473,1-2 km,0-2 km
E02001852,E02001848,24,0,0,0,2,0,0,9,2,0,11,0,2312.585759020439,0.020358804503158332,0,0.10722858625303777,0,3,3,0.125,2.3125857590204393,2-3 km,2-4 km
E02001852,E02001849,101,0,0,1,19,1,1,40,1,0,37,1,1606.4322363273018,0.017735221002612336,0,0.09891100938378551,0,10,10,0.09900990099009901,1.6064322363273018,1-2 km,0-2 km
E02001852,E02001850,23,0,0,0,7,0,0,13,2,0,1,0,6292.585650176694,0.016651258833721174,0,0.08655751070265005,0,2,2,0.08695652173913043,6.292585650176694,6-7 km,6-8 km
E02001852,E02001851,23,0,0,0,6,0,0,10,3,2,2,0,4158.286635373034,0.017794118346719123,0.08695652173913043,0.10547549273584493,0.8244239442133368,2,4,0.17391304347826086,4.1582866353730346,4-5 km,4-6 km
E02001852,E02001852,71,0,0,0,6,0,0,27,4,1,33,0,0,0.02018620129713255,0.014084507042253521,0.021376232863923404,0.6588863029287025,1,2,0.028169014084507043,0,NA,NA
E02001852,E02001854,89,0,0,0,19,0,0,51,8,4,7,0,2767.8887309603233,0.019094801563455114,0.0449438202247191,0.10930751685744605,0.4111686141707236,9,13,0.14606741573033707,2.7678887309603235,2-3 km,2-4 km
E02001852,E02001855,28,0,0,0,8,0,1,15,2,1,1,0,5897.048575638227,0.0202889170779578,0.03571428571428571,0.09036738016605171,0.3952121401401707,2,3,0.10714285714285714,5.897048575638227,5-6 km,4-6 km
