Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02001042,E02001043,30,0,0,0,1,0,0,17,3,0,9,0,Manchester,Manchester
E02001042,E02001044,41,0,1,0,3,0,0,21,3,2,11,0,Manchester,Manchester
E02001042,E02001045,16,0,0,0,1,0,0,13,0,1,1,0,Manchester,Manchester
E02001042,E02001050,36,0,3,0,1,0,0,28,3,1,0,0,Manchester,Manchester
E02001042,E02001052,58,0,3,0,5,1,0,43,4,1,1,0,Manchester,Manchester
E02001042,E02001059,20,0,0,0,1,0,0,18,1,0,0,0,Manchester,Manchester
E02001042,E02001062,26,0,2,0,6,1,1,16,0,0,0,0,Manchester,Manchester
E02001042,E02001063,15,0,5,0,0,0,0,9,0,1,0,0,Manchester,Manchester
E02001042,E02001066,24,0,1,0,5,0,0,14,1,3,0,0,Manchester,Manchester
E02001042,E02001259,22,0,2,0,1,0,0,17,1,1,0,0,Manchester,Manchester
E02001042,E02006902,172,0,45,0,37,0,1,72,10,4,3,0,Manchester,Manchester
E02001042,E02006912,102,0,30,1,15,2,0,44,6,2,2,0,Manchester,Manchester
E02001042,E02006913,56,0,6,2,10,0,0,31,5,0,2,0,Manchester,Manchester
E02001042,E02006914,29,0,13,0,6,0,0,8,0,1,1,0,Manchester,Manchester
E02001042,E02006915,31,0,2,0,0,1,0,27,0,0,1,0,Manchester,Manchester
E02001042,E02006917,72,0,17,0,9,0,1,37,2,4,1,1,Manchester,Manchester
E02001043,E02001041,31,0,0,0,2,0,0,13,3,2,11,0,Manchester,Manchester
E02001043,E02001042,106,0,3,0,13,1,0,41,13,1,34,0,Manchester,Manchester
E02001043,E02001043,94,0,1,1,6,0,1,36,1,1,47,0,Manchester,Manchester
E02001043,E02001044,31,0,1,0,1,2,0,20,2,0,5,0,Manchester,Manchester
E02001043,E02001050,31,0,0,0,2,0,0,28,0,0,1,0,Manchester,Manchester
E02001043,E02001052,30,0,2,0,2,0,0,22,2,2,0,0,Manchester,Manchester
E02001043,E02001062,32,0,3,0,4,0,1,19,2,2,0,1,Manchester,Manchester
E02001043,E02001066,21,0,1,0,7,0,0,12,0,1,0,0,Manchester,Manchester
E02001043,E02001259,15,0,1,0,0,0,0,12,1,1,0,0,Manchester,Manchester
E02001043,E02006902,142,0,20,0,39,1,0,65,6,10,1,0,Manchester,Manchester
E02001043,E02006912,87,0,12,0,20,0,1,42,5,4,2,1,Manchester,Manchester
E02001043,E02006913,45,0,1,0,4,0,1,35,3,0,1,0,Manchester,Manchester
E02001043,E02006914,42,0,9,0,5,0,0,18,5,4,1,0,Manchester,Manchester
E02001043,E02006915,23,0,0,0,4,1,0,15,2,0,1,0,Manchester,Manchester
E02001043,E02006917,58,0,9,0,13,0,0,31,2,3,0,0,Manchester,Manchester
E02001044,E02001041,72,0,2,0,3,2,0,38,3,0,24,0,Manchester,Manchester
E02001044,E02001042,96,0,2,0,0,2,0,53,4,1,33,1,Manchester,Manchester
E02001044,E02001043,20,0,0,0,0,2,0,12,2,0,4,0,Manchester,Manchester
E02001044,E02001044,232,0,5,0,6,2,3,110,11,2,93,0,Manchester,Manchester
E02001044,E02001045,25,0,0,0,2,2,0,16,3,0,2,0,Manchester,Manchester
E02001044,E02001048,32,0,3,0,1,1,0,18,0,0,9,0,Manchester,Manchester
E02001044,E02001050,52,0,0,0,3,0,0,37,2,2,8,0,Manchester,Manchester
E02001044,E02001052,112,0,0,0,8,0,0,71,7,0,26,0,Manchester,Manchester
