Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02001073,E02001259,59,0,1,0,6,0,1,40,4,2,5,0,2045.703335603163,0.017822562653469324
E02001073,E02001262,38,0,0,0,1,0,1,13,2,4,17,0,1497.564162386241,0.011315463346598591
E02001073,E02006902,383,0,7,2,208,2,1,88,5,55,13,2,6626.831098916498,0.018686864189712854
E02001073,E02006912,290,0,3,0,164,0,0,64,10,38,11,0,5552.663535855865,0.014179321955941458
E02001073,E02006913,14,0,0,0,1,0,1,8,0,2,2,0,7951.656856158929,0.011146267352969438
E02001073,E02006914,158,0,5,0,80,0,1,36,6,29,1,0,4316.2251423830985,0.013015909107122352
E02001073,E02006915,29,0,0,0,3,0,0,21,2,1,2,0,7929.829886782483,0.01815665575019572
E02001073,E02006916,15,0,0,0,3,0,0,11,1,0,0,0,NA,0.01744358397797605
E02001073,E02006917,166,0,7,2,83,1,0,45,4,23,1,0,4506.42354941305,0.016134294693279653
E02001074,E02001050,14,0,0,1,4,1,1,6,0,0,1,0,9512.55853327596,0.015027046602778283
E02001074,E02001055,15,0,0,0,1,0,0,11,1,2,0,0,9228.12146971336,0.020576277681330607
E02001074,E02001057,14,0,0,0,6,0,0,7,1,0,0,0,5634.876327744526,0.01836644608773507
E02001074,E02001059,24,0,0,0,6,0,0,14,1,1,2,0,6670.339400849901,0.013025553762274704
E02001074,E02001061,18,0,0,1,9,0,0,8,0,0,0,0,7211.140238156048,0.017072420575756336
E02001074,E02001062,185,0,0,0,61,2,1,67,8,30,16,0,3366.043171901625,0.012045245102903364
E02001074,E02001063,161,0,0,0,41,1,4,66,13,18,18,0,2618.876783924307,0.018606751173757506
E02001074,E02001064,36,0,0,0,7,0,0,20,3,3,2,1,4683.845367720306,0.012339617993997264
E02001074,E02001066,152,0,1,0,36,1,0,59,22,14,19,0,3393.874203275916,0.010938171235826423
E02001074,E02001067,14,0,0,0,1,0,0,6,1,2,4,0,4975.114263178246,0.015576547400132293
E02001074,E02001068,24,0,0,0,7,1,0,13,0,1,2,0,1890.1759022233955,0.016435593091420207
E02001074,E02001069,62,0,0,0,6,0,0,34,4,2,16,0,1063.9742373472823,0.011973643946040054
E02001074,E02001070,51,0,0,0,10,0,0,26,0,6,9,0,1569.0536322031867,0.011682909238076179
E02001074,E02001071,23,0,0,0,4,0,0,12,5,0,2,0,4395.84492990563,0.012859085659179072
E02001074,E02001072,37,0,0,1,4,0,0,17,2,0,13,0,1480.3629218849314,0.016217885125216314
E02001074,E02001073,83,0,0,0,27,3,0,32,5,2,14,0,3013.7475659667953,0.02174811394142093
E02001074,E02001074,119,0,0,0,21,2,0,38,5,2,51,0,0,0.020487616158417217
E02001074,E02001075,11,0,0,0,0,0,0,9,0,0,2,0,3969.8291923455745,0.02339040422836119
E02001074,E02001076,51,0,0,0,5,0,1,22,3,5,15,0,2143.5401167877867,0.021375622075055355
E02001074,E02001077,45,0,0,0,6,0,1,23,2,6,7,0,3322.55598733882,0.021945778535131653
E02001074,E02001078,16,0,0,0,0,0,0,15,1,0,0,0,3958.72098837363,0.020454242593887288
E02001074,E02001079,56,0,0,0,7,0,0,25,6,2,16,0,1953.7616830902577,0.01721666365221024
E02001074,E02001080,23,0,0,0,9,0,0,3,1,5,5,0,2684.432760609175,0.02387940159070223
E02001074,E02001081,20,0,0,0,1,0,0,12,0,4,3,0,3735.5491275615127,0.03540866852706857
E02001074,E02001082,44,0,1,0,13,0,0,15,4,5,6,0,2847.6320021076435,0.016479895318634693
E02001074,E02001083,58,0,0,0,14,2,0,33,4,1,4,0,2985.0756511028376,0.01859137535757038
E02001074,E02001084,17,0,0,0,3,0,0,8,5,0,1,0,2901.9442227027052,0.013879331691050314
E02001074,E02001085,16,0,0,0,3,2,0,7,0,2,2,0,3487.3360421746384,0.014212835148305876
E02001074,E02001086,25,0,0,0,6,1,2,14,0,0,2,0,3457.6661274379553,0.01534837312602219
E02001074,E02001087,24,0,0,0,12,1,0,8,0,1,2,0,4215.602585044752,0.013401107368585923
E02001074,E02001089,68,0,0,0,19,0,0,40,3,2,4,0,5484.40467989786,0.015462291523900284
E02001074,E02001259,44,0,0,0,6,0,1,30,1,1,5,0,2654.9739653911925,0.01716535813042262
E02001074,E02001262,28,0,0,0,6,0,0,19,0,1,2,0,3062.3022898967483,0.025669695566706497
E02001074,E02006902,298,0,0,0,168,1,1,82,11,17,18,0,5591.9331948974595,0.01795691093186128
E02001074,E02006912,176,0,0,1,96,0,0,53,6,13,7,0,4390.4323683178545,0.019480076554943836
E02001074,E02006913,18,0,1,0,7,0,0,3,1,5,1,0,7341.819184921109,0.018183726799018623
E02001074,E02006914,106,0,0,1,52,0,0,19,6,21,7,0,3432.6936449124337,0.02303033608475474
E02001074,E02006915,34,0,0,0,4,0,0,22,5,2,1,0,7777.6400856539985,0.02134970367814735
E02001074,E02006917,113,0,0,0,48,1,2,39,9,7,4,3,3890.985877038407,0.022938359201906375
E02001075,E02001050,15,0,0,0,3,3,0,6,0,0,3,0,10458.550325477561,0.020509366704089815
E02001075,E02001052,11,0,1,0,3,0,0,6,0,0,1,0,10028.534224999232,0.015087828118234793
E02001075,E02001055,15,0,0,0,6,0,0,7,0,0,2,0,7863.280146796201,0.021266654882512444
E02001075,E02001057,15,0,0,3,4,0,0,6,0,2,0,0,6279.772518440611,NaN
E02001075,E02001059,29,0,0,1,5,0,1,12,3,6,1,0,5534.388426113103,0.010951697509976266
