Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02001044,E02001045,25,0,0,0,2,2,0,16,3,0,2,0,3390.2915254346885,0.01558202257320766,0,0.06072880111247422,0,2,2,0.08,3.3902915254346886,3-4 km,2-4 km
E02001044,E02001048,32,0,3,0,1,1,0,18,0,0,9,0,1914.661699805493,0.0200100407119014,0,0.050785940266868626,0,2,2,0.0625,1.914661699805493,1-2 km,0-2 km
E02001044,E02001050,52,0,0,0,3,0,0,37,2,2,8,0,3952.7689959547233,0.016707416966134273,0.038461538461538464,0.056176175755773196,0.6846592517929773,3,5,0.09615384615384616,3.9527689959547234,3-4 km,2-4 km
E02001044,E02001052,112,0,0,0,8,0,0,71,7,0,26,0,2369.5259921349075,0.0205476657195538,0,0.05093355583148982,0,6,6,0.05357142857142857,2.3695259921349074,2-3 km,2-4 km
E02001044,E02001055,14,0,0,0,1,0,0,12,1,0,0,0,7399.3230625897795,0.02302350641823581,0,0.028846280143720846,0,0,0,0,7.3993230625897795,7-8 km,6-8 km
E02001044,E02001059,14,0,0,0,2,1,0,10,0,0,1,0,8114.586393404027,0.02244037653747968,0,0.026707979576733955,0,0,0,0,8.114586393404027,8-9 km,8-10 km
E02001044,E02001062,36,0,8,1,3,0,3,17,4,0,0,0,8008.075229973125,0.02093216205771425,0,0.028944373297257645,0,1,1,0.027777777777777776,8.008075229973125,8-9 km,8-10 km
E02001044,E02001063,16,0,0,0,5,0,0,10,1,0,0,0,8022.945474804669,0.02351128528515542,0,0.025837890317730292,0,0,0,0,8.022945474804668,8-9 km,8-10 km
E02001044,E02001066,25,0,2,1,5,0,0,16,0,1,0,0,9635.222574107622,0.01613197077245717,0.04,0.028191713279161718,1.418856654929395,1,2,0.08,9.635222574107623,9-10 km,8-10 km
E02001044,E02001259,14,0,0,1,0,0,0,12,1,0,0,0,8684.54428565481,0.01795969321328629,0,0.02986160260334716,0,0,0,0,8.68454428565481,8-9 km,8-10 km
E02001044,E02006902,170,0,49,1,37,0,4,65,10,1,3,0,5130.985533470808,0.03044756388690527,0.0058823529411764705,0.02846120189804681,0.20667970953047332,5,6,0.03529411764705882,5.130985533470808,5-6 km,4-6 km
E02001044,E02006912,98,0,35,0,19,0,1,33,6,2,2,0,6943.585786004847,0.01845236709572343,0.02040816326530612,0.037364474551731135,0.5461916301552965,4,6,0.061224489795918366,6.9435857860048475,6-7 km,6-8 km
E02001044,E02006913,46,0,0,0,9,0,0,30,3,2,2,0,3277.594116421049,0.02449123799308896,0.043478260869565216,0.04303546033063714,1.010289201870413,2,4,0.08695652173913043,3.277594116421049,3-4 km,2-4 km
E02001044,E02006914,34,0,9,0,6,0,0,16,1,1,0,1,7300.537631105902,0.02285540366947517,0.029411764705882353,0.029463261770450576,0.9982521600979064,1,2,0.058823529411764705,7.300537631105902,7-8 km,6-8 km
E02001044,E02006915,59,0,0,0,5,0,0,49,3,0,2,0,3029.9606235336046,0.02140163834116805,0,0.04908991754669427,0,3,3,0.05084745762711865,3.0299606235336047,3-4 km,2-4 km
E02001044,E02006917,72,0,20,1,12,1,2,27,5,2,2,0,6413.659619593521,0.02143149981185757,0.027777777777777776,0.035360600825983884,0.7855572905697333,2,4,0.05555555555555555,6.4136596195935205,6-7 km,6-8 km
E02001045,E02001045,236,0,3,1,20,2,1,78,17,0,113,1,0,0.02572916162675774,0,0.01124981436099499,0,3,3,0.012711864406779662,0,NA,NA
E02001045,E02001046,71,0,3,0,11,2,0,35,4,0,15,1,1820.1328795824527,0.02591336678416783,0,0.04053028275619468,0,3,3,0.04225352112676056,1.8201328795824527,1-2 km,0-2 km
E02001045,E02001047,24,0,0,0,2,2,0,14,3,0,3,0,3800.463502395376,0.01510025455731408,0,0.06050043294926976,0,1,1,0.041666666666666664,3.800463502395376,3-4 km,2-4 km
E02001045,E02001048,43,0,1,0,9,1,0,14,2,0,16,0,1755.9946125062886,0.024368840329441,0,0.04266130681671397,0,2,2,0.046511627906976744,1.7559946125062886,1-2 km,0-2 km
E02001045,E02001050,150,0,0,0,40,1,0,74,14,6,14,1,2741.66185233078,0.02472676498741855,0.04,0.043449923426697776,0.9206000113551875,6,12,0.08,2.7416618523307803,2-3 km,2-4 km
E02001045,E02001051,23,0,0,0,5,0,0,13,4,0,1,0,3604.28005441133,0.02488762357610574,0,0.04153781070625482,0,1,1,0.043478260869565216,3.6042800544113303,3-4 km,2-4 km
E02001045,E02001052,57,0,0,0,19,3,0,26,2,2,4,1,3235.890955330971,0.02390415143112782,0.03508771929824561,0.04413640805347648,0.7949835712895506,2,4,0.07017543859649122,3.2358909553309707,3-4 km,2-4 km
E02001045,E02001053,32,0,0,0,11,1,0,14,5,0,1,0,3825.056861284655,0.02070439259735867,0,0.04834503534296442,0,2,2,0.0625,3.825056861284655,3-4 km,2-4 km
E02001045,E02001055,47,0,0,0,3,0,1,29,8,5,1,0,5903.901467516618,0.02185539695006197,0.10638297872340426,0.037112315492362914,2.8665141830155023,2,7,0.14893617021276595,5.903901467516618,5-6 km,4-6 km
E02001045,E02001057,16,0,0,3,2,0,0,9,2,0,0,0,6911.839644814152,0.02148850587958634,0,0.03297591456874484,0,1,1,0.0625,6.911839644814152,6-7 km,6-8 km
